id	rate2	rate	County	County Code	Column1	Crude Rate
1001	0.097	0.0187	Autauga County, AL	1001	0.0187	18.7
1003	0.091	0.0197	Baldwin County, AL	1003	0.0197	19.7
1005	0.134	0.016	Barbour County, AL	1005	0.016	16
1007	0.121	0.0	Bibb County, AL	1007	#VALUE!	Unreliable
1009	0.099	0.0211	Blount County, AL	1009	0.0211	21.1
1011	0.164	0.0	Bullock County, AL	1011	#VALUE!	Suppressed
1013	0.167	0.0	Butler County, AL	1013	#VALUE!	Unreliable
1015	0.108	0.0221	Calhoun County, AL	1015	0.0221	22.1
1017	0.186	0.0269	Chambers County, AL	1017	0.0269	26.9
1019	0.118	0.0231	Cherokee County, AL	1019	0.0231	23.1
1021	0.099	0.014	Chilton County, AL	1021	0.014	14
1023	0.127	0.0	Choctaw County, AL	1023	#VALUE!	Suppressed
1025	0.17	0.0201	Clarke County, AL	1025	0.0201	20.1
1027	0.159	0.0	Clay County, AL	1027	#VALUE!	Unreliable
1029	0.104	0.0	Cleburne County, AL	1029	#VALUE!	Unreliable
1031	0.085	0.015	Coffee County, AL	1031	0.015	15
1033	0.114	0.0193	Colbert County, AL	1033	0.0193	19.3
1035	0.195	0.0	Conecuh County, AL	1035	#VALUE!	Suppressed
1037	0.14	0.0	Coosa County, AL	1037	#VALUE!	Suppressed
1039	0.101	0.0194	Covington County, AL	1039	0.0194	19.4
1041	0.097	0.0	Crenshaw County, AL	1041	#VALUE!	Suppressed
1043	0.096	0.0221	Cullman County, AL	1043	0.0221	22.1
1045	0.093	0.0204	Dale County, AL	1045	0.0204	20.4
1047	0.211	0.0131	Dallas County, AL	1047	0.0131	13.1
1049	0.143	0.0232	DeKalb County, AL	1049	0.0232	23.2
1051	0.09	0.0215	Elmore County, AL	1051	0.0215	21.5
1053	0.129	0.0233	Escambia County, AL	1053	0.0233	23.3
1055	0.107	0.0193	Etowah County, AL	1055	0.0193	19.3
1057	0.128	0.0256	Fayette County, AL	1057	0.0256	25.6
1059	0.123	0.014	Franklin County, AL	1059	0.014	14
1061	0.1	0.0167	Geneva County, AL	1061	0.0167	16.7
1063	0.147	0.0	Greene County, AL	1063	#VALUE!	Suppressed
1065	0.127	0.0	Hale County, AL	1065	#VALUE!	Unreliable
1067	0.099	0.0	Henry County, AL	1067	#VALUE!	Unreliable
1069	0.089	0.0154	Houston County, AL	1069	0.0154	15.4
1071	0.118	0.0232	Jackson County, AL	1071	0.0232	23.2
1073	0.107	0.014	Jefferson County, AL	1073	0.014	14
1075	0.148	0.0	Lamar County, AL	1075	#VALUE!	Suppressed
1077	0.105	0.016	Lauderdale County, AL	1077	0.016	16
1079	0.136	0.0218	Lawrence County, AL	1079	0.0218	21.8
1081	0.086	0.0129	Lee County, AL	1081	0.0129	12.9
1083	0.093	0.014	Limestone County, AL	1083	0.014	14
1085	0.185	0.0	Lowndes County, AL	1085	#VALUE!	Suppressed
1087	0.114	0.0	Macon County, AL	1087	#VALUE!	Suppressed
1089	0.075	0.0173	Madison County, AL	1089	0.0173	17.3
1091	0.148	0.0	Marengo County, AL	1091	#VALUE!	Unreliable
1093	0.152	0.0201	Marion County, AL	1093	0.0201	20.1
1095	0.092	0.0177	Marshall County, AL	1095	0.0177	17.7
1097	0.111	0.0152	Mobile County, AL	1097	0.0152	15.2
1099	0.187	0.0	Monroe County, AL	1099	#VALUE!	Unreliable
1101	0.102	0.0114	Montgomery County, AL	1101	0.0114	11.4
1103	0.104	0.0235	Morgan County, AL	1103	0.0235	23.5
1105	0.198	0.0	Perry County, AL	1105	#VALUE!	Suppressed
1107	0.13	0.0	Pickens County, AL	1107	#VALUE!	Unreliable
1109	0.087	0.0127	Pike County, AL	1109	0.0127	12.7
1111	0.151	0.0246	Randolph County, AL	1111	0.0246	24.6
1113	0.126	0.0183	Russell County, AL	1113	0.0183	18.3
1115	0.107	0.0177	St. Clair County, AL	1115	0.0177	17.7
1117	0.076	0.0137	Shelby County, AL	1117	0.0137	13.7
1119	0.139	0.0	Sumter County, AL	1119	#VALUE!	Suppressed
